                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.85793,                  1.038,                      0,                0.54929,                 1.0166,                0.99296,                      1,                  0.995,                0.87454,                0.66263,                0.66667,                0.46623,                  0.166,                0.61674,                 4.0037,                      0,                0.50115,                0.95389,              0.0015842,              0.0015842,              0.0015842
                     24,                0.87551,                  1.085,                      0,                0.53553,                 1.0271,                0.95258,                      1,                0.99483,                0.84023,                0.90863,                0.87719,                0.86835,                0.30553,                 0.6884,                 3.8905,                      0,                0.68084,                0.95958,              0.0015644,              0.0015644,              0.0015644
                     25,                0.81993,                0.91773,                      0,                  0.515,                 1.0192,                0.99174,                      1,                  0.995,                0.84509,                0.36219,                0.36842,                0.14511,                0.05978,                0.63005,                 4.7437,                      0,                 0.5364,                0.97638,              0.0015446,              0.0015446,              0.0015446
                     26,                0.81231,                0.94593,                      0,                0.51043,                 1.0127,                0.99885,                      1,                  0.995,                0.85448,                0.45562,                0.45614,                0.26982,                0.12658,                0.66947,                 4.2936,                      0,                0.39678,                0.97465,              0.0015248,              0.0015248,              0.0015248
                     27,                0.83688,                 1.0765,                      0,                0.50852,                 1.0231,                0.99598,                      1,                  0.995,                0.86805,                0.45415,                0.45614,                0.28997,                0.19323,                0.66818,                 3.8569,                      0,                0.39069,                0.97184,               0.001505,               0.001505,               0.001505
                     28,                 0.8773,                 1.1286,                      0,                0.53495,                 1.0151,                0.99858,                      1,                  0.995,                0.80607,                0.63044,                0.63158,                0.47458,                0.21876,                0.83447,                 3.7788,                      0,                0.48325,                 1.1359,              0.0014852,              0.0014852,              0.0014852
                     29,                0.83774,                0.99784,                      0,                0.52586,                 1.0209,                0.99869,                      1,                  0.995,                0.84395,                 0.7709,                0.77193,                0.61984,                 0.3336,                0.67419,                 3.0609,                      0,                 0.4344,                0.96954,              0.0014654,              0.0014654,              0.0014654
                     30,                0.80123,                 1.0803,                      0,                0.50867,                 1.0101,                 0.9981,                      1,                  0.995,                0.83092,                0.45559,                0.45614,                0.23642,                0.16179,                0.73051,                 3.8235,                      0,                0.40608,                 1.0325,              0.0014456,              0.0014456,              0.0014456
                     31,                0.80241,                0.90434,                      0,                0.49175,                 1.0075,                0.99567,                      1,                  0.995,                 0.8657,                0.88798,                0.87719,                0.81215,                0.36042,                0.65068,                 3.2717,                      0,                 0.3847,                0.94966,              0.0014258,              0.0014258,              0.0014258
                     32,                0.83976,                0.95355,                      0,                 0.5316,                 1.0049,                0.98685,                      1,                  0.995,                0.81629,                0.51783,                0.52632,                0.28444,                0.15843,                0.79008,                 3.6767,                      0,                0.90377,                 1.0452,               0.001406,               0.001406,               0.001406
                     33,                0.75682,                0.85016,                      0,                0.49585,                0.98881,                0.99799,                      1,                  0.995,                0.83133,                0.57771,                0.57895,                0.35891,                  0.215,                0.72855,                 3.5442,                      0,                 0.4063,                 1.0137,              0.0013862,              0.0013862,              0.0013862
                     34,                0.78171,                0.86841,                      0,                0.49982,                0.99304,                0.99882,                      1,                  0.995,                0.87541,                0.66586,                0.66667,                0.51684,                0.33143,                0.62545,                 3.2001,                      0,                0.39936,                 0.9351,              0.0013664,              0.0013664,              0.0013664
                     35,                0.78549,                0.98284,                      0,                0.49486,                0.99411,                0.98117,                0.98246,                0.98644,                0.73578,                0.74393,                0.73684,                0.60202,                0.23191,                 1.0017,                 3.9946,                      0,                0.45563,                 1.3367,              0.0013466,              0.0013466,              0.0013466
