                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.90624,                 1.6132,                      0,                0.57263,                 1.0745,                 0.9271,                0.75424,                0.85892,                0.52592,                0.43257,                0.34241,                0.19724,                0.12158,                 1.5132,                 4.5926,                      0,                0.98773,                  1.781,              0.0015842,              0.0015842,              0.0015842
                     24,                0.91271,                 1.5757,                      0,                0.60662,                 1.0813,                0.99016,                0.99576,                 0.9947,                0.73188,                 0.4737,                 0.4661,                0.25367,                 0.2123,                0.99207,                 3.8089,                      0,                0.60654,                  1.273,              0.0015644,              0.0015644,              0.0015644
                     25,                0.93201,                 1.5817,                      0,                0.58219,                 1.0793,                0.96872,                0.97881,                0.99219,                0.72396,                0.46794,                0.46186,                0.29288,                0.23927,                 0.9841,                 3.6979,                      0,                0.65368,                 1.2584,              0.0015446,              0.0015446,              0.0015446
                     26,                0.87027,                 1.5149,                      0,                0.57592,                 1.0479,                0.98729,                0.98721,                 0.9944,                0.77739,                0.46324,                0.46186,                0.25936,                0.19905,                0.83403,                 3.8848,                      0,                0.56829,                  1.081,              0.0015248,              0.0015248,              0.0015248
                     27,                0.85862,                  1.485,                      0,                0.55867,                 1.0449,                0.98887,                0.99153,                0.99466,                0.76575,                0.46636,                0.45919,                0.23583,                0.19549,                0.82176,                 3.7858,                      0,                0.55879,                 1.0348,               0.001505,               0.001505,               0.001505
                     28,                0.85469,                 1.4614,                      0,                0.56359,                 1.0341,                0.99514,                0.99576,                0.99335,                0.71465,                0.47878,                0.47881,                  0.261,                0.16507,                 1.0575,                 4.1071,                      0,                0.53599,                 1.2038,              0.0014852,              0.0014852,              0.0014852
                     29,                0.83518,                 1.4145,                      0,                0.54731,                 1.0345,                0.98474,                0.99576,                0.99277,                0.75858,                0.45802,                 0.4661,                0.23489,                0.18418,                0.88129,                 3.6882,                      0,                0.51726,                 1.1019,              0.0014654,              0.0014654,              0.0014654
                     30,                0.82843,                 1.3628,                      0,                  0.552,                 1.0351,                0.97982,                0.99153,                0.99409,                 0.6921,                0.46079,                 0.4661,                0.29045,                0.25473,                 1.0238,                 3.5907,                      0,                0.52601,                 1.2343,              0.0014456,              0.0014456,              0.0014456
                     31,                0.80405,                 1.2819,                      0,                0.51338,                 1.0059,                0.99148,                0.98639,                0.99466,                0.72973,                0.47331,                0.47034,                0.30988,                0.19082,                0.97397,                 4.1375,                      0,                0.51099,                 1.2585,              0.0014258,              0.0014258,              0.0014258
                     32,                0.82553,                 1.4007,                      0,                0.53289,                 1.0259,                0.99571,                0.98249,                0.99475,                 0.7631,                0.50796,                    0.5,                 0.3604,                0.23183,                0.90952,                 3.8253,                      0,                0.47542,                 1.1077,               0.001406,               0.001406,               0.001406
                     33,                0.80339,                 1.2535,                      0,                0.51112,                 1.0238,                0.92952,                0.83829,                0.87523,                0.53654,                0.43376,                0.41102,                0.26001,                0.13883,                 1.5351,                 4.5923,                      0,                0.73172,                 1.8264,              0.0013862,              0.0013862,              0.0013862
                     34,                0.84735,                 1.1208,                      0,                0.53176,                 1.0394,                0.95221,                 0.9288,                 0.9718,                0.72627,                0.53108,                 0.4661,                0.32788,                0.15352,                 1.0014,                 4.3478,                      0,                0.61027,                 1.1902,              0.0013664,              0.0013664,              0.0013664
